Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-17 00:00:00+09:00,66252.59754043126,66517.25505390836,65458.625,65458.625,234110,0.0,0.0
2020-02-24 00:00:00+09:00,63517.80405405405,65458.62584459459,58577.53040540541,58753.96875,1965738,0.0,0.0
2020-03-02 00:00:00+09:00,58401.085973950234,60871.22254082427,56195.60689638414,56724.921875,2098121,0.0,0.0
2020-03-09 00:00:00+09:00,56724.92552037566,57342.459701779444,47109.03612423111,50196.70703125,2797192,0.0,0.0
2020-03-16 00:00:00+09:00,50196.70493358634,52137.5265654649,43756.705882352944,46491.5,3171279,0.0,0.0
2020-03-23 00:00:00+09:00,43580.27083794248,55578.07819413717,42742.18870644359,49843.83203125,4546398,0.0,0.0
2020-03-30 00:00:00+09:00,47814.79174960191,66076.16055433916,47461.91505772293,55401.640625,7702566,0.0,0.0
2020-04-06 00:00:00+09:00,56724.91948689956,62635.60316593886,55489.85125545851,60606.5625,6506475,0.0,0.0
2020-04-13 00:00:00+09:00,60606.56478445871,60783.00310988653,57077.798275902154,59283.27734375,2866287,0.0,0.0
2020-04-20 00:00:00+09:00,59371.49547697369,64576.42598684211,57342.45476973684,62018.0703125,4851030,0.0,0.0
2020-04-27 00:00:00+09:00,62459.17131696429,63958.897181919645,59812.59626116072,61753.41796875,3425251,0.0,0.0
2020-05-04 00:00:00+09:00,61312.3224071558,63076.705785778984,59106.84318387681,60871.2265625,2303711,0.0,0.0
2020-05-11 00:00:00+09:00,60959.44166587991,61135.879991975075,56019.168535215256,58401.0859375,2606212,0.0,0.0
2020-05-18 00:00:00+09:00,59459.71985960145,64311.77415081522,57959.99398777174,60871.2265625,4573736,0.0,0.0
2020-05-25 00:00:00+09:00,60871.223424239746,65546.83913653642,59636.15512287836,62370.94921875,3849065,0.0,0.0
2020-06-01 00:00:00+09:00,63517.79488859764,70222.45101572739,63341.356569462645,67311.21875,3330992,0.0,0.0
2020-06-08 00:00:00+09:00,69693.14744256512,69957.80496449891,58665.750695323804,60959.44921875,3607382,0.0,0.0
2020-06-15 00:00:00+09:00,60430.12748527246,61400.538291605306,58224.648379970546,59900.8125,2310435,0.0,0.0
2020-06-22 00:00:00+09:00,59636.16113583591,60253.69534878096,56636.70924438854,56989.5859375,1927467,0.0,0.0
2020-06-29 00:00:00+09:00,55666.289288330074,57342.45330810547,54872.316857910155,56460.26171875,1887513,0.0,0.0
2020-07-06 00:00:00+09:00,56636.705758711505,57607.11660504457,54254.78822680308,54431.2265625,1829383,0.0,0.0
2020-07-13 00:00:00+09:00,54695.88516982622,56901.36441054502,54431.22766093996,55842.734375,1362304,0.0,0.0
2020-07-20 00:00:00+09:00,55754.5140802269,56989.58243010534,54254.78822680308,54431.2265625,1922320,0.0,0.0
2020-07-27 00:00:00+09:00,54078.348904969265,55578.07473104508,53813.69140625,53813.69140625,1495364,0.0,0.0
2020-08-03 00:00:00+09:00,53813.69375752408,56372.04969025883,52755.063716392455,54960.54296875,2455128,0.0,0.0
2020-08-10 00:00:00+09:00,55048.75678066038,58401.08491794419,53901.90768106329,56107.38671875,3719498,0.0,0.0
2020-08-17 00:00:00+09:00,56107.384054487185,56107.384054487185,50902.453772703,51608.20703125,1757319,0.0,0.0
2020-08-24 00:00:00+09:00,51519.992432491286,53372.594900097996,50373.14328587761,50637.80078125,1981796,0.0,0.0
