Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-03-25 13:21:00+09:00,100600.0,100700.0,100600.0,100700.0,0,0.0,0.0
2025-03-25 13:22:00+09:00,100700.0,100700.0,100600.0,100700.0,1661,0.0,0.0
2025-03-25 13:23:00+09:00,100600.0,100700.0,100600.0,100600.0,741,0.0,0.0
2025-03-25 13:24:00+09:00,100700.0,100700.0,100600.0,100700.0,2507,0.0,0.0
2025-03-25 13:25:00+09:00,100700.0,100700.0,100600.0,100700.0,1479,0.0,0.0
2025-03-25 13:26:00+09:00,100700.0,100700.0,100600.0,100700.0,793,0.0,0.0
2025-03-25 13:27:00+09:00,100700.0,100700.0,100600.0,100600.0,1482,0.0,0.0
2025-03-25 13:28:00+09:00,100700.0,100800.0,100600.0,100700.0,2105,0.0,0.0
2025-03-25 13:29:00+09:00,100700.0,100800.0,100600.0,100700.0,3811,0.0,0.0
2025-03-25 13:30:00+09:00,100800.0,100800.0,100700.0,100800.0,2971,0.0,0.0
2025-03-25 13:31:00+09:00,100800.0,100800.0,100700.0,100800.0,990,0.0,0.0
2025-03-25 13:32:00+09:00,100800.0,100800.0,100700.0,100800.0,966,0.0,0.0
2025-03-25 13:33:00+09:00,100700.0,100800.0,100700.0,100800.0,1201,0.0,0.0
2025-03-25 13:34:00+09:00,100700.0,100900.0,100700.0,100900.0,2748,0.0,0.0
2025-03-25 13:35:00+09:00,100900.0,100900.0,100800.0,100900.0,2643,0.0,0.0
2025-03-25 13:36:00+09:00,100900.0,100900.0,100850.0,100900.0,1666,0.0,0.0
2025-03-25 13:37:00+09:00,100900.0,100900.0,100800.0,100850.0,1111,0.0,0.0
2025-03-25 13:38:00+09:00,100900.0,100900.0,100850.0,100900.0,2102,0.0,0.0
2025-03-25 13:39:00+09:00,100900.0,101000.0,100800.0,101000.0,3539,0.0,0.0
2025-03-25 13:40:00+09:00,101000.0,101000.0,100900.0,100900.0,5069,0.0,0.0
2025-03-25 13:41:00+09:00,100900.0,101000.0,100900.0,101000.0,2251,0.0,0.0
2025-03-25 13:42:00+09:00,100900.0,101100.0,100900.0,101000.0,3002,0.0,0.0
2025-03-25 13:43:00+09:00,101100.0,101100.0,101000.0,101100.0,1206,0.0,0.0
2025-03-25 13:44:00+09:00,101100.0,101100.0,100900.0,100900.0,11346,0.0,0.0
2025-03-25 13:45:00+09:00,101000.0,101000.0,100900.0,101000.0,1962,0.0,0.0
2025-03-25 13:46:00+09:00,100900.0,101000.0,100900.0,100950.0,1964,0.0,0.0
2025-03-25 13:47:00+09:00,100950.0,101000.0,100800.0,100900.0,3003,0.0,0.0
2025-03-25 13:48:00+09:00,100800.0,100900.0,100800.0,100900.0,1295,0.0,0.0
2025-03-25 13:49:00+09:00,100800.0,100900.0,100800.0,100850.0,2210,0.0,0.0
2025-03-25 13:50:00+09:00,100850.0,101000.0,100800.0,101000.0,1288,0.0,0.0
2025-03-25 13:51:00+09:00,100900.0,101000.0,100900.0,101000.0,3271,0.0,0.0
2025-03-25 13:52:00+09:00,101000.0,101000.0,100900.0,100900.0,3974,0.0,0.0
2025-03-25 13:53:00+09:00,100900.0,101000.0,100800.0,100900.0,1312,0.0,0.0
2025-03-25 13:54:00+09:00,100800.0,100900.0,100700.0,100700.0,3620,0.0,0.0
2025-03-25 13:55:00+09:00,100800.0,100800.0,100700.0,100700.0,1909,0.0,0.0
2025-03-25 13:56:00+09:00,100800.0,100800.0,100700.0,100800.0,1342,0.0,0.0
2025-03-25 13:57:00+09:00,100800.0,101000.0,100700.0,100800.0,5210,0.0,0.0
2025-03-25 13:58:00+09:00,100900.0,100900.0,100800.0,100900.0,1220,0.0,0.0
2025-03-25 13:59:00+09:00,100900.0,100900.0,100800.0,100900.0,1629,0.0,0.0
2025-03-25 14:00:00+09:00,100900.0,100900.0,100800.0,100900.0,1851,0.0,0.0
2025-03-25 14:01:00+09:00,100800.0,100900.0,100800.0,100800.0,962,0.0,0.0
2025-03-25 14:02:00+09:00,100900.0,100900.0,100800.0,100850.0,1283,0.0,0.0
2025-03-25 14:03:00+09:00,100900.0,100900.0,100850.0,100900.0,1695,0.0,0.0
2025-03-25 14:04:00+09:00,100850.0,100900.0,100800.0,100800.0,1650,0.0,0.0
2025-03-25 14:05:00+09:00,100900.0,100900.0,100800.0,100900.0,1491,0.0,0.0
2025-03-25 14:06:00+09:00,100800.0,100900.0,100800.0,100900.0,1394,0.0,0.0
2025-03-25 14:07:00+09:00,100900.0,101000.0,100800.0,100900.0,2907,0.0,0.0
2025-03-25 14:08:00+09:00,100900.0,101000.0,100900.0,101000.0,2332,0.0,0.0
2025-03-25 14:09:00+09:00,101000.0,101000.0,100900.0,100900.0,1951,0.0,0.0
2025-03-25 14:10:00+09:00,101000.0,101000.0,100900.0,100900.0,2374,0.0,0.0
2025-03-25 14:11:00+09:00,101000.0,101000.0,100900.0,100900.0,1866,0.0,0.0
2025-03-25 14:12:00+09:00,101000.0,101000.0,100900.0,101000.0,1339,0.0,0.0
2025-03-25 14:13:00+09:00,101000.0,101100.0,100900.0,101100.0,11207,0.0,0.0
2025-03-25 14:14:00+09:00,101100.0,101100.0,101000.0,101000.0,3792,0.0,0.0
2025-03-25 14:15:00+09:00,101000.0,101100.0,101000.0,101100.0,4969,0.0,0.0
2025-03-25 14:16:00+09:00,101000.0,101200.0,101000.0,101000.0,1856,0.0,0.0
2025-03-25 14:17:00+09:00,101100.0,101100.0,101000.0,101100.0,1282,0.0,0.0
2025-03-25 14:18:00+09:00,101000.0,101100.0,101000.0,101100.0,1343,0.0,0.0
2025-03-25 14:19:00+09:00,101100.0,101100.0,101000.0,101000.0,4223,0.0,0.0
2025-03-25 14:20:00+09:00,101100.0,101100.0,101000.0,101100.0,2414,0.0,0.0
2025-03-25 14:21:00+09:00,101000.0,101100.0,101000.0,101000.0,2678,0.0,0.0
2025-03-25 14:22:00+09:00,101100.0,101100.0,101000.0,101100.0,1400,0.0,0.0
2025-03-25 14:23:00+09:00,101000.0,101100.0,101000.0,101000.0,2057,0.0,0.0
2025-03-25 14:24:00+09:00,101000.0,101100.0,101000.0,101050.0,3357,0.0,0.0
2025-03-25 14:25:00+09:00,101000.0,101100.0,101000.0,101100.0,1501,0.0,0.0
2025-03-25 14:26:00+09:00,101100.0,101100.0,101000.0,101100.0,1089,0.0,0.0
