Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-01 00:00:00-05:00,103.38287911249215,111.40266433235568,77.90263015880555,103.77909088134766,276379695,0.0,0.0
2020-05-01 00:00:00-04:00,102.91290285237623,116.86439338755235,90.38137934510968,103.7193832397461,253592308,1.229097,0.0
2020-08-01 00:00:00-04:00,105.17972536337214,120.571374140393,103.9406014627978,111.35448455810547,181321016,1.229097,0.0
2020-11-01 00:00:00-04:00,113.93457493651185,131.55266757925185,112.325902545826,123.39692687988281,206499687,1.229097,0.0
2021-02-01 00:00:00-05:00,124.68402182630328,143.94957136724722,122.96932800903706,139.68408203125,182566413,1.237458,0.0
2021-05-01 00:00:00-04:00,141.44237114198586,149.2721019824189,136.82740290819538,141.4066619873047,161972009,1.237458,0.0
2021-08-01 00:00:00-04:00,143.26043931878814,145.92313703700674,125.06053366917827,128.58680725097656,185887585,1.237458,0.0
2021-11-01 00:00:00-04:00,129.459608967579,135.09396536044176,116.41431353324344,120.38809204101562,189660962,1.237458,0.0
2022-02-01 00:00:00-05:00,121.05346154233784,123.72908937022287,102.15599451036009,105.43106842041016,254456416,1.245819,0.0
2022-05-01 00:00:00-04:00,106.66427631671684,114.15608929825027,92.70661758281804,105.72687530517578,230475661,1.245819,0.0
2022-08-01 00:00:00-04:00,105.98267165773937,113.55020294958791,79.82810455658439,93.78515625,741252454,1.245819,0.0
2022-11-01 00:00:00-04:00,95.48576529753839,100.86376212027591,84.17992849324305,86.68061828613281,225631860,1.245819,0.0
2023-02-01 00:00:00-05:00,87.29170966831028,92.09256001224958,76.32594748704001,80.94390869140625,249031480,1.254181,0.0
2023-05-01 00:00:00-04:00,82.10829030086188,87.35877770800758,71.32936359184417,86.09248352050781,288858875,1.254181,0.0
2023-08-01 00:00:00-04:00,87.4011583692604,87.7303851193275,66.90303985387229,71.29269409179688,277776380,1.254181,0.0
2023-11-01 00:00:00-04:00,72.52595307985142,88.03995560403143,71.26096721440322,75.06388854980469,288185050,1.254181,0.0
2024-02-01 00:00:00-05:00,76.27744096825458,94.56223987406678,73.11773786314414,93.27680206298828,366020740,1.262542,1.196
2024-05-01 00:00:00-04:00,96.38837755441696,126.40534533075459,93.3522945952828,125.32454681396484,313022200,0.7,0.0
2024-08-01 00:00:00-04:00,126.14546743774207,139.83843063287816,118.04247381980136,127.10516357421875,239989000,0.7,0.0
2024-11-01 00:00:00-04:00,127.7903630099662,154.18001150725257,124.16962012104757,151.3948211669922,216085600,0.7,0.0
2025-02-01 00:00:00-05:00,149.17999267578125,153.6199951171875,147.52999877929688,150.1999969482422,33700000,0.0,0.0
