Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-04-01 00:00:00+09:00,73429.2864833734,85874.92826021634,68865.88449853098,77660.8046875,41304577,0.0,0.0
2020-05-01 00:00:00+09:00,77660.80197704081,82639.0585140306,75088.70276626275,81311.5234375,29451686,0.0,0.0
2020-06-01 00:00:00+09:00,81311.52219805527,95416.58217118731,80481.81278787104,81062.609375,35327068,0.0,0.0
2020-07-01 00:00:00+09:00,81726.39047060277,108277.0960041996,81311.53569664032,104958.2578125,50392410,0.0,0.0
2020-08-01 00:00:00+09:00,104958.25721494334,151007.13686260622,102469.12858533993,146443.734375,78777457,0.0,0.0
2020-09-01 00:00:00+09:00,148103.140625,158889.3637517507,137316.9174982493,148103.140625,51843561,0.0,0.0
2020-10-01 00:00:00+09:00,148103.13530585106,156400.22972074468,129849.5275930851,136487.203125,42203538,0.0,0.0
2020-11-01 00:00:00+09:00,137731.81198347107,156400.28047520661,137731.81198347107,150592.3125,41595534,0.0,0.0
2020-12-01 00:00:00+09:00,151836.83349609375,165112.18505859375,148932.85034179688,159304.21875,40068950,3000.0,0.0
2021-01-01 00:00:00+09:00,161866.76855895197,243643.2089246725,161866.76855895197,193059.84375,98505600,0.0,0.0
2021-02-01 00:00:00+09:00,193059.8329377637,213293.17787447257,189266.0807621308,199804.28125,30116099,0.0,0.0
2021-03-01 00:00:00+09:00,199804.30067373853,209920.97412557338,177884.84152809632,183786.234375,23179604,0.0,0.0
2021-04-01 00:00:00+09:00,185893.86737175708,201068.876953125,177884.83453714623,178727.890625,20693301,0.0,0.0
2021-05-01 00:00:00+09:00,178727.91090425532,198961.25930851063,177884.85472074468,198118.203125,22902066,0.0,0.0
2021-06-01 00:00:00+09:00,198118.18502087682,209920.97051148224,195589.01670146137,201911.9375,20470541,1000.0,0.0
2021-07-01 00:00:00+09:00,201906.6605504587,206139.50458715594,184552.0,184552.0,17183693,0.0,0.0
2021-08-01 00:00:00+09:00,184551.9875,190477.96875,169313.75,179895.859375,14350998,0.0,0.0
2021-09-01 00:00:00+09:00,181165.72921875,184975.2889453125,167197.3435546875,169313.765625,11799356,0.0,0.0
2021-10-01 00:00:00+09:00,167620.60952524038,182012.27801983172,160001.49091045672,176086.296875,14582859,0.0,0.0
2021-11-01 00:00:00+09:00,176086.32992327368,186245.15664961637,164657.6498561381,165504.21875,15678239,0.0,0.0
2021-12-01 00:00:00+09:00,168043.90281100478,183705.42523923446,166350.76525119616,176932.875,13280620,4000.0,0.0
2022-01-01 00:00:00+09:00,182459.75293230562,187635.91613605898,160029.71238270777,160892.40625,11892548,0.0,0.0
2022-02-01 00:00:00+09:00,160892.4078214799,168656.6527029454,147520.65274784484,150108.734375,11556422,0.0,0.0
2022-03-01 00:00:00+09:00,150108.75467451525,157873.0006059557,140619.12075831025,155716.265625,12747009,0.0,0.0
2022-04-01 00:00:00+09:00,153559.52637768816,164774.5479670699,150540.09748823926,160461.078125,16174933,0.0,0.0
2022-05-01 00:00:00+09:00,158735.6833773087,163480.5,151834.13192612136,163480.5,11530639,0.0,0.0
2022-06-01 00:00:00+09:00,163480.51155644044,163480.51155644044,144932.5907202216,155716.265625,17438131,1000.0,0.0
2022-07-01 00:00:00+09:00,157425.30695950254,172170.37703284438,149185.41485969388,170001.984375,19363851,0.0,0.0
2022-08-01 00:00:00+09:00,170001.984375,173037.73409598213,159593.69961734692,170001.984375,16375947,0.0,0.0
2022-09-01 00:00:00+09:00,167833.60224858357,176507.17342422096,150920.13845609064,153088.53125,16793348,0.0,0.0
2022-10-01 00:00:00+09:00,153088.5357142857,159593.7142857143,138777.14285714284,142680.25,16649893,0.0,0.0
2022-11-01 00:00:00+09:00,141812.89501664203,155690.60951368345,139210.82354844676,146583.359375,15535503,0.0,0.0
2022-12-01 00:00:00+09:00,149185.44764072847,150052.80489445364,130537.26668563743,130970.9453125,11387686,6000.0,0.0
2023-01-01 00:00:00+09:00,138845.6356617647,160123.27852941176,138845.6356617647,153271.15625,8864094,0.0,0.0
2023-02-01 00:00:00+09:00,152549.8634429949,162287.0887691435,152099.0659741917,158951.1875,1296286,0.0,0.0
2023-03-01 00:00:00+09:00,158951.18715277777,166704.90359925473,153721.936526084,166344.265625,11690493,0.0,0.0
2023-04-01 00:00:00+09:00,166434.41071202533,187080.93295094938,164360.74253955696,178064.984375,16892557,0.0,0.0
2023-05-01 00:00:00+09:00,178064.9970703125,190687.3259765625,177974.837578125,180318.984375,12759654,0.0,0.0
2023-06-01 00:00:00+09:00,180138.68825665858,188433.36259079902,174909.43704600484,186179.375,11549575,1500.0,0.0
2023-07-01 00:00:00+09:00,188453.1740274235,190723.69419642858,176192.36511479592,178008.78125,13134828,0.0,0.0
2023-08-01 00:00:00+09:00,177282.22580645164,181278.34155208885,165838.803443945,171742.15625,10112592,0.0,0.0
2023-09-01 00:00:00+09:00,170743.1328492936,178008.7980769231,167473.5834968603,173558.578125,6720427,1500.0,0.0
2023-10-01 00:00:00+09:00,174918.75248600473,176840.9365792575,154964.65094652327,155330.78125,9357553,0.0,0.0
2023-11-01 00:00:00+09:00,156337.6049918611,170708.21622354857,155056.1492132393,168694.5,8431136,0.0,0.0
2023-12-01 00:00:00+09:00,167779.18790694102,186268.765625,165399.34126996313,186268.765625,8808029,0.0,0.0
2024-01-01 00:00:00+09:00,186268.7734455293,186268.7734455293,164575.55511305243,178122.375,10684615,0.0,0.0
2024-02-01 00:00:00+09:00,177481.6457023453,238899.99756736527,177115.51543787424,229289.078125,47239276,8400.0,0.0
