Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-12-23 09:30:00-05:00,9.869999885559082,9.880000114440918,9.75,9.789999961853027,12850946,0.0,0.0
2024-12-23 11:00:00-05:00,9.789999961853027,9.850000381469727,9.779999732971191,9.82859992980957,9146305,0.0,0.0
2024-12-23 12:30:00-05:00,9.824999809265137,9.869999885559082,9.8100004196167,9.859100341796875,7583937,0.0,0.0
2024-12-23 14:00:00-05:00,9.859999656677246,9.895000457763672,9.84000015258789,9.885000228881836,8022143,0.0,0.0
2024-12-23 15:30:00-05:00,9.885000228881836,9.920000076293945,9.880000114440918,9.904999732971191,6488082,0.0,0.0
2024-12-24 09:30:00-05:00,9.899999618530273,9.989999771118164,9.890000343322754,9.970100402832031,7910267,0.0,0.0
2024-12-24 11:00:00-05:00,9.975000381469727,10.050000190734863,9.970000267028809,10.03499984741211,13384776,0.0,0.0
2024-12-24 12:30:00-05:00,10.03499984741211,10.0600004196167,10.020000457763672,10.045000076293945,2375445,0.0,0.0
2024-12-26 09:30:00-05:00,10.0,10.109999656677246,9.979999542236328,10.095000267028809,11058763,0.0,0.0
2024-12-26 11:00:00-05:00,10.095000267028809,10.119999885559082,10.079999923706055,10.079999923706055,5417994,0.0,0.0
2024-12-26 12:30:00-05:00,10.079999923706055,10.100000381469727,10.069999694824219,10.074999809265137,5075756,0.0,0.0
2024-12-26 14:00:00-05:00,10.070799827575684,10.109999656677246,10.069999694824219,10.104999542236328,6180838,0.0,0.0
2024-12-26 15:30:00-05:00,10.109999656677246,10.119999885559082,10.0600004196167,10.069999694824219,4548897,0.0,0.0
2024-12-27 09:30:00-05:00,10.024999618530273,10.199999809265137,9.979999542236328,10.074999809265137,14524706,0.0,0.0
2024-12-27 11:00:00-05:00,10.069999694824219,10.079999923706055,9.989999771118164,10.005000114440918,9596986,0.0,0.0
2024-12-27 12:30:00-05:00,10.005000114440918,10.069999694824219,9.989999771118164,10.069999694824219,8144441,0.0,0.0
2024-12-27 14:00:00-05:00,10.0649995803833,10.079999923706055,10.029999732971191,10.030099868774414,10446971,0.0,0.0
2024-12-27 15:30:00-05:00,10.03499984741211,10.050000190734863,10.0,10.039999961853027,5964530,0.0,0.0
