Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-04-01 00:00:00+09:00,20881.816287762966,21643.3412579501,20440.933410286205,20481.013671875,2170012,0.0,0.0
2020-04-02 00:00:00+09:00,20440.93250363372,20881.815361555233,19959.96938590116,20681.4140625,1658336,0.0,0.0
2020-04-03 00:00:00+09:00,20360.771484375,20761.5740726501,20200.45044906496,20360.771484375,1461529,0.0,0.0
2020-04-06 00:00:00+09:00,20641.332187937267,21643.338604827422,20481.01116123484,21483.017578125,1721874,0.0,0.0
2020-04-07 00:00:00+09:00,22565.18713357301,22885.829224280973,22044.143736172566,22645.34765625,2680220,0.0,0.0
2020-04-08 00:00:00+09:00,22725.508178926993,23487.033144358407,22204.46478152655,22645.34765625,2550320,0.0,0.0
2020-04-09 00:00:00+09:00,23527.112332219112,24368.797781923713,23046.149218102197,24168.396484375,3167177,0.0,0.0
2020-04-10 00:00:00+09:00,24489.037446446575,25491.043888608874,24168.395384954638,24849.759765625,2293372,0.0,0.0
2020-04-13 00:00:00+09:00,24248.55942134534,24288.639684851696,23647.35546875,23647.35546875,2007475,0.0,0.0
2020-04-14 00:00:00+09:00,24088.235094744556,24328.71664311139,23687.432514133165,23927.9140625,1717972,0.0,0.0
2020-04-16 00:00:00+09:00,23286.63299771013,23567.194841056036,23006.071154364225,23246.552734375,2289317,0.0,0.0
2020-04-17 00:00:00+09:00,23687.432336303304,24288.63620270694,23647.352078543063,23967.994140625,1965039,0.0,0.0
2020-04-20 00:00:00+09:00,24008.07442171529,24128.31519511286,23406.870554727426,23527.111328125,1597338,0.0,0.0
2020-04-21 00:00:00+09:00,23246.551329614387,23326.711851440643,22565.186894091206,23126.310546875,2441841,0.0,0.0
2020-04-22 00:00:00+09:00,22525.10632840009,23286.63127544564,21963.982683208626,22765.587890625,2420355,0.0,0.0
2020-04-23 00:00:00+09:00,23006.069946289062,23887.835693359375,22965.989685058594,23086.23046875,1963345,0.0,0.0
2020-04-24 00:00:00+09:00,22765.586501579422,23166.38908083258,22164.382632699682,22204.462890625,2200412,0.0,0.0
2020-04-27 00:00:00+09:00,22364.786481097028,23166.391731315558,22284.625956075175,22925.91015625,1374350,0.0,0.0
2020-04-28 00:00:00+09:00,23166.391292735043,23967.996527777777,23166.391292735043,23446.953125,2172224,0.0,0.0
2020-04-29 00:00:00+09:00,23487.031935075887,23767.59375,23166.389860876898,23767.59375,1875521,0.0,0.0
2020-05-04 00:00:00+09:00,23687.43275329377,23687.43275329377,22845.74732551176,23006.068359375,1876049,0.0,0.0
2020-05-06 00:00:00+09:00,23326.710756593053,23727.51334691252,23286.630497561106,23366.791015625,1579421,0.0,0.0
2020-05-07 00:00:00+09:00,23126.311944369612,23487.034314385775,22925.910627693967,23246.552734375,1333680,0.0,0.0
2020-05-08 00:00:00+09:00,23487.034605532786,24769.603048155735,23446.954341700817,24448.9609375,2777232,0.0,0.0
2020-05-11 00:00:00+09:00,24609.27984349427,25170.403488134205,24448.958802168574,24489.0390625,2487579,0.0,0.0
2020-05-12 00:00:00+09:00,24489.038230613427,24489.038230613427,23567.192274305555,23807.673828125,1967011,0.0,0.0
2020-05-13 00:00:00+09:00,23246.550202546296,24008.075122974536,23046.14890769676,23807.673828125,1311883,0.0,0.0
2020-05-14 00:00:00+09:00,23446.95120249891,23567.191977896342,22965.988100909188,23006.068359375,2081307,0.0,0.0
2020-05-15 00:00:00+09:00,23246.552365227664,23446.953678721005,22885.830000939648,23326.712890625,1261825,0.0,0.0
